Part Number,Vos TC (max),Ios (max),BW -3 dB (typ),Ibias (typ),CMRR (min),0.1 to 10 Hz VNoise (typ),1 Hz Vnoise (typ),1 Hz Inoise (typ),Current Noise Density (typ),# of Amps,GBP (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Iq/Amp (typ),Vs span (min),Vs span (max),Package
,V/°C,A,Hz,A,dB,V p-p,V/rtHz,A/rtHz,A/rtHz,,Hz,V/us,V,V/rtHz,A,A,V,V,
AD8607,,0.0000000000005,,0.0000000000002,85,0.0000023,,,0.00000000000005,2,316000,0.1,0.0003,0.000000022,0.000000000001,0.00005,1.8,5,8-Lead SOIC 8-Lead MSOP
AD8609,,0.0000000000005,,0.0000000000002,85,0.0000023,,,0.00000000000005,4,316000,0.1,0.0003,0.000000022,0.000000000001,0.00004,1.8,5,14-Lead SOIC 14-Lead TSSOP
AD8625,,0.0000000000005,,0.00000000000025,76,0.0000025,,,0.0000000000000004,4,5000000,5,0.00075,0.000000016,0.000000000001,0.00085,5,26,14-Lead SOIC 14-Lead TSSOP
AD8626,,0.0000000000005,,0.00000000000025,76,0.0000025,,,0.0000000000000004,2,5000000,5,0.00075,0.000000016,0.000000000001,0.00085,5,26,8-Lead SOIC 8-Lead MSOP
AD8651,,0.00000000001,50000000,0.000000000001,80,,0.00000021,,0.000000000000004,1,50000000,41,0.00035,0.0000000045,0.00000000001,0.009,2.7,5.5,8-Lead SOIC 8-Lead MSOP
LT6010,0.0000008,0.00000000011,,0.00000000002,107,0.0000004,0.000000033,0.00000000000051,0.0000000000001,1,330000,0.09,0.000035,0.000000014,0.00000000011,0.000135,2.7,40,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT6205,0.000018,0.000003,,0.000018,78,0.000002,,,0.000000000004,1,100000000,600,0.0045,0.000000009,0.00003,0.004,3,12.6,5-Lead TSOT-23
LT6207,0.000018,0.000003,,0.000018,78,0.000002,,,0.000000000004,4,100000000,600,0.0045,0.000000009,0.00003,0.004,3,12.6,16-Lead SSOP (Narrow 0.15 Inch)
LT6230,,0.0000006,,0.000005,95,0.00000018,0.000000025,0.000000000013,0.000000000001,1,215000000,70,0.0005,0.0000000011,0.00001,0.0033,3,12.6,6-Lead TSOT-23
LT6230-10,,0.0000006,,0.000005,95,0.00000018,0.000000025,0.000000000013,0.000000000001,1,1450000000,250,0.0005,0.0000000011,0.00001,0.0033,3,12.6,6-Lead TSOT-23
LT6231,,0.0000006,,0.000005,95,0.00000018,0.000000025,0.000000000013,0.000000000001,2,215000000,70,0.00035,0.0000000011,0.00001,0.0033,3,12.6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
