Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
AD713,10f,789,4,4M,4M,20,1.5m,16n,150p,,3m,9,36,$11.05500 (AD713JRZ-16-REEL),111.825mm² (16 ld SOIC) (AD713JRZ-16-REEL),"14-Lead PDIP,14-Lead CerDIP,16 ld SOIC"
LT1079,60f,222,4,200k,,70m,100µ,28n,8n,In to V-,38µ,2.2,44,$5.46000 (LT1079CN#PBF),111.6136mm² (16-Lead SOIC (Wide 0.3 Inch)) (LT1079ISW#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
LT1079MJ,60f,222,4,200k,,70m,100µ,28n,8n,,38µ,2.2,44,,111.6136mm² (16-Lead SOIC (Wide 0.3 Inch)) (LT1079ISW#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
AD842,,47,1,80M,,375,1m,9n,5µ,,13m,10,36,,111.825mm² (16 ld SOIC) (AD842JRZ-16),"LCC:CER LEADLESS CHIP CARR,14-Lead PDIP,14-Lead CerDIP,16 ld SOIC,CHIPS OR DIE"
AD845,100f,485,1,16M,,100,250µ,12n,1n,,10m,9.5,36,$12.52500 (AD845JRZ-16-REEL),83.6577mm² (8-Lead CerDIP) (AD845SQ/883B),"8-Lead PDIP,8-Lead CerDIP,16 ld SOIC,CHIPS OR DIE"
AD847,1.5p,8985,1,50M,50M,300,1m,15n,6.6µ,,4.8m,9,36,$6.36000 (AD847ARZ),31mm² (8-Lead SOIC) (AD847JRZ-REEL7),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,CHIPS OR DIE"
LT1078,60f,882,2,200k,,70m,70µ,28n,8n,In to V-,38µ,2.2,44,$4.33500 (LT1078CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1078IS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),16-Lead SOIC (Wide 0.3 Inch)"
LTC1050,1.8f,257,1,2.5M,,4,5µ,90n,30p,"In to V-, Output",1m,4.75,18,$4.32000 (LTC1050CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LTC1050HS8#PBF),"14-Lead PDIP (Narrow 0.3 Inch),8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP290,,0,2,20k,,12m,500µ,80n,25n,In to V-,20µ,1.6,36,$8.43000 (OP290GPZ),83.9216mm² (8-Lead PDIP) (OP290GPZ),8-Lead PDIP
LT1178,10f,15,2,85k,,40m,70µ,49n,5n,In to V-,12µ,2,44,$4.74000 (LT1178CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1178S8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),16-Lead SOIC (Wide 0.3 Inch)"
LT1179,10f,12,4,85k,,40m,100µ,49n,5n,In to V-,12µ,2,44,$5.94000 (LT1179CN#PBF),111.6136mm² (16-Lead SOIC (Wide 0.3 Inch)) (LT1179SW#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
AD744,10f,10841,1,13M,13M,75,500µ,16n,100p,,3.5m,9,36,$5.55000 (AD744JRZ),31mm² (8-Lead SOIC) (AD744JRZ),"8-Pin TO-99,8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,CHIPS OR DIE"
OP97,20f,13391,1,900k,,200m,25µ,14n,100p,,600µ,4,40,$2.76000 (OP97FSZ-REEL),31mm² (8-Lead SOIC) (OP97FSZ),"8-Lead PDIP,8-Lead SOIC,CERDIP GLASS SEAL"
AD549,110a,0,1,1M,1M,3,500µ,35n,60f,,700µ,10,36,,88.36mm² (8-Pin TO-99) (AD549SH/883B),"CHIPS OR DIE,8-Pin TO-99"
OP200,400f,866,2,500k,,150m,75µ,11n,2n,,775µ,3,36,$7.39500 (OP200GSZ-REEL),83.6577mm² (8-Lead CerDIP) (OP200EZ),"8-Lead PDIP,8-Lead CerDIP,16 ld SOIC,LCC:CER LEADLESS CHIP CARR,CERDIP GLASS SEAL"
OP200S,,,2,,,,75µ,,2n,,,3,36,,,"LCC:CER LEADLESS CHIP CARR,CERDIP GLASS SEAL"
LT1006,70f,1281,1,600k,,400m,50µ,22n,15n,In to V-,340µ,4,44,$3.12000 (LT1006CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1006S8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP270,600f,1193,2,5M,,2.4,75µ,3.2n,20n,,3.25m,9,36,$6.73500 (OP270GSZ),83.6577mm² (8-Lead CerDIP) (OP270EZ),"8-Lead PDIP,8-Lead CerDIP,16 ld SOIC,CERDIP GLASS SEAL"
OP270S,,,2,,,,75µ,,20n,,3.25m,9,36,,,"14-Lead CerPak,LCC:CER LEADLESS CHIP CARR,CERDIP GLASS SEAL,CHIPS OR DIE"
OP42,7f,322,1,10M,,52,750µ,12n,250p,,5.1m,16,40,$5.52000 (OP42GSZ),31mm² (8-Lead SOIC) (OP42GSZ-R7),"8-Pin TO-99,8-Lead PDIP,8-Lead CerDIP,CERPAK(HERM CER SRF MOUNT),8-Lead SOIC,LCC:CER LEADLESS CHIP CARR,CHIPS OR DIE"
OP42S,,,1,,,,1m,,200p,,,16,40,,,"ROUND HEADER/METAL CAN,CERDIP GLASS SEAL"
OP471,400f,0,4,6.5M,,8,800µ,6.5n,25n,,2.3m,9,36,$13.02000 (OP471GSZ-REEL),111.825mm² (16 ld SOIC) (OP471GSZ-REEL),"16 ld SOIC,LCC:CER LEADLESS CHIP CARR,CERDIP GLASS SEAL"
OP471S,,,4,,,,400µ,,25n,,,9,36,,,"CERPAK(HERM CER SRF MOUNT),CERDIP GLASS SEAL,CER. FLATPACK WITH LEADS"
OP490,70f,79,4,20k,,12m,1m,60n,25n,In to V-,20µ,3,36,$11.70000 (OP490GSZ-REEL),111.825mm² (16 ld SOIC) (OP490GSZ-REEL),"14-Lead PDIP,16 ld SOIC"
RH1056A,0a,,1,6.5M,,10,300µ,28n,50p,,6.5m,8,40,,54.1782mm² (10-Lead Flatpak (Glass Sealed Hermetic)) (RH1056AMW),"10-Lead Flatpak (Glass Sealed Hermetic),8-Lead TO-5 (0.2 Inch PCD),CHIPS OR DIE"
RH1078M,250f,,2,200k,,40m,120µ,24n,15n,,75µ,4.5,44,,54.1782mm² (10-Lead Flatpak (Glass Sealed Hermetic)) (RH1078MW),"8-Lead CERDIP (Narrow 0.3 Inch),10-Lead Flatpak (Glass Sealed Hermetic),8-Lead TO-5 (0.2 Inch PCD),CHIPS OR DIE"
RH108A,,,1,500k,,,1m,,2n,,600µ,,40,,78.3336mm² (14-Lead Flatpak (Hermetic)) (RH108AW),"14-Lead Flatpak (Hermetic),8-Lead TO-5 (0.2 Inch PCD),CHIPS OR DIE"
AD648,1.8f,1307,2,1M,1M,1.8,1m,30n,10p,,170µ,9,36,$4.77000 (AD648JRZ),31mm² (8-Lead SOIC) (AD648JRZ-REEL7),"8-Lead PDIP,8-Lead SOIC"
AD648S,,,2,,,,1m,,10p,,,9,36,,,"CERDIP GLASS SEAL,CHIPS OR DIE,ROUND HEADER/METAL CAN"
AD711,10f,32402,1,4M,4M,20,1m,16n,50p,,2.8m,9,36,$3.31500 (AD711JRZ-REEL),31mm² (8-Lead SOIC) (AD711KRZ),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC"
AD712,10f,18918,2,4M,4M,20,1m,16n,75p,,2.8m,9,36,$3.40500 (AD712JRZ),31mm² (8-Lead SOIC) (AD712JRZ-REEL),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC"
LT1057,1.5f,897,2,5M,,14,450µ,13n,50p,,1.6m,8,40,$3.93000 (LT1057CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1057S8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1057MH/883,1.5f,897,2,5M,,14,450µ,13n,50p,,1.6m,8,40,,31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1057S8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1058,1.5f,494,4,5M,,14,600µ,13n,50p,,1.6m,8,40,$6.73500 (LT1058CN#PBF),111.6136mm² (16-Lead SOIC (Wide 0.3 Inch)) (LT1058ISW#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
OP470,400f,7236,4,6M,,2,400µ,3.2n,25n,,2.25m,9,36,$10.15500 (OP470GSZ-REEL),111.825mm² (16 ld SOIC) (OP470GSZ),"14-Lead PDIP,16 ld SOIC,LCC:CER LEADLESS CHIP CARR,CERDIP GLASS SEAL"
OP470S,,,4,,,,400µ,,25n,,,9,36,,,"LCC:CER LEADLESS CHIP CARR,CERDIP GLASS SEAL,CER. FLATPACK WITH LEADS,CHIPS OR DIE"
LT1028,1p,2503,1,75M,,15,40µ,850p,90n,,7.4m,8,44,$9.54000 (LT1028CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1028CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),16-Lead SOIC (Wide 0.3 Inch),CHIPS OR DIE"
OP400,600f,12495,4,500k,,150m,150µ,11n,3n,,600µ,6,40,$11.17500 (OP400GSZ-REEL),111.825mm² (16 ld SOIC) (OP400HSZ),"14-Lead PDIP,14-Lead CerDIP,16 ld SOIC,CHIPS OR DIE,LCC:CER LEADLESS CHIP CARR"
OP400S,,,4,,,,150µ,,3n,,,6,40,,,"LCC:CER LEADLESS CHIP CARR,CERPAK(HERM CER SRF MOUNT),CERDIP GLASS SEAL,CHIPS OR DIE"
OP77,120f,596,1,600k,,300m,25µ,9.6n,2n,,2m,6,44,,83.6577mm² (8-Lead CerDIP) (5962-8773802PA),"8-Pin TO-99,8-Lead CerDIP,LCC:CER LEADLESS CHIP CARR,CHIPS OR DIE"
OP77S,,,1,,,,25µ,,2n,,,6,44,,,"LCC:CER LEADLESS CHIP CARR,ROUND HEADER/METAL CAN,CERPAK(HERM CER SRF MOUNT),CERDIP GLASS SEAL"
LT1022,1.8f,7,1,8.5M,,26,250µ,14n,50p,,5.2m,20,40,$4.50000 (LT1022CN8#PBF),65.7352mm² (8-Lead PDIP (Narrow 0.3 Inch)) (LT1022CN8#PBF),"8-Lead TO-5 (0.2 Inch PCD),8-Lead PDIP (Narrow 0.3 Inch)"
LT1022AMH/883,1.8f,7,1,8.5M,,26,250µ,14n,50p,,5.2m,20,40,,65.7352mm² (8-Lead PDIP (Narrow 0.3 Inch)) (LT1022CN8#PBF),"8-Lead TO-5 (0.2 Inch PCD),8-Lead PDIP (Narrow 0.3 Inch)"
LT1024,20f,0,2,1M,,200m,50µ,14n,120p,,380µ,4,40,$9.54000 (LT1024CN#PBF),126.4885mm² (14-Lead PDIP (Narrow 0.3 Inch)) (LT1024CN#PBF),14-Lead PDIP (Narrow 0.3 Inch)
LTC1052,600a,46,1,1.2M,,4,5µ,30n,30p,"In to V-, Output",1.7m,4.75,18,$6.58500 (LTC1052CN8#PBF),65.7352mm² (8-Lead PDIP (Narrow 0.3 Inch)) (LTC1052CN8#PBF),"14-Lead PDIP (Narrow 0.3 Inch),8-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
LT1013,70f,13462,2,800k,,400m,150µ,22n,20n,In to V-,350µ,4,44,$3.04500 (LT1013DN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1013DS8#PBF),"8-Lead TO-5 (0.2 Inch PCD),8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1013AMH,70f,13462,2,800k,,400m,150µ,22n,20n,In to V-,350µ,4,44,,31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1013DS8#PBF),"8-Lead TO-5 (0.2 Inch PCD),8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1014,70f,579,4,800k,,400m,150µ,22n,20n,In to V-,350µ,4,44,$5.53500 (LT1014DN#PBF),111.6136mm² (16-Lead SOIC (Wide 0.3 Inch)) (LT1014ISW#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
LT1010,,1524,1,30M,,200,150m,20n,250µ,,5m,4.5,44,$4.81500 (LT1010CN8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1010CDD#TRPBF),"N/A,5-Lead TO-220 (Flow 06),5-Lead TO-220,8-Lead PDIP (Narrow 0.3 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1055,1.8f,264,1,4.5M,,12,700µ,15n,50p,,2.8m,8,40,$3.04500 (LT1055CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1055S8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1056,1.8f,114,1,5.5M,,14,800µ,15n,50p,,5m,8,40,$3.04500 (LT1056CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1056S8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
RH101A,,,1,100k,,,2m,,75n,,3m,4,44,,54.1782mm² (10-Lead Flatpak (Glass Sealed Hermetic)) (RH101AW),"10-Lead Flatpak (Glass Sealed Hermetic),CHIPS OR DIE"
RH118,,,1,15M,,50,6m,,,,8m,,40,,54.1782mm² (10-Lead Flatpak (Glass Sealed Hermetic)) (RH118W),"10-Lead Flatpak (Glass Sealed Hermetic),8-Lead TO-5 (0.2 Inch PCD)"
RH27C,600f,,1,5M,,1.7,60µ,5.5n,60n,,3.5m,,44,,54.1782mm² (10-Lead Flatpak (Glass Sealed Hermetic)) (RH27CW),"10-Lead Flatpak (Glass Sealed Hermetic),8-Lead TO-5 (0.2 Inch PCD),CHIPS OR DIE"
RH37C,600f,,1,45M,,11,100µ,8n,150n,,5.6m,,44,,54.1782mm² (10-Lead Flatpak (Glass Sealed Hermetic)) (RH37CW),"10-Lead Flatpak (Glass Sealed Hermetic),8-Lead TO-5 (0.2 Inch PCD)"
LT1001,100f,1498,1,800k,,250m,25µ,9.6n,2n,,1.5m,6,44,$2.65500 (LT1001CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1001CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1002,100f,46,2,800k,,250m,60µ,9.6n,3n,,1.53m,6,44,$5.71500 (LT1002CN#PBF),126.4885mm² (14-Lead PDIP (Narrow 0.3 Inch)) (LT1002ACN#PBF),14-Lead PDIP (Narrow 0.3 Inch)
LT1007,400f,10,1,8M,,2.5,25µ,2.5n,35n,,2.6m,10,30,$3.04500 (LT1007CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1007CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1008,20f,0,1,1M,,200m,120µ,14n,100p,,380µ,4,40,$5.92500 (LT1008CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1008S8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1012,20f,802,1,1M,,200m,25µ,14n,100p,,370µ,2.4,40,$3.21000 (LT1012DN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1012AIS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1037,400f,436,1,60M,,15,25µ,2.5n,35n,,2.6m,8,44,$3.04500 (LT1037CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1037CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP227S,,,2,,,,80µ,,40n,,,,,,,"CERDIP GLASS SEAL,CERPAK(HERM CER SRF MOUNT)"
OP27,400f,29974,1,8M,,2.8,25µ,3n,40n,,5.7m,8,36,$2.38500 (OP27GSZ-REEL),31mm² (8-Lead SOIC) (OP27GSZ),"8-Lead PDIP,8-Lead SOIC,ROUND HEADER/METAL CAN,CERDIP GLASS SEAL,CHIPS OR DIE"
OP27S,,1,1,,,,25µ,,,,,8,36,,,"ROUND HEADER/METAL CAN,CERPAK(HERM CER SRF MOUNT),CERDIP GLASS SEAL,CHIPS OR DIE,LCC:CER LEADLESS CHIP CARR"
OP37,1.7p,20216,1,63M,,17,100µ,3n,40n,,3m,8,44,$2.14500 (OP37GSZ),31mm² (8-Lead SOIC) (OP37GSZ),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,CHIPS OR DIE"
OP37S,,,1,,,,25µ,,40n,,,8,44,,,"ROUND HEADER/METAL CAN,CERDIP GLASS SEAL"
OP215S,,,2,,,,1m,,100p,,,20,32,,,"ROUND HEADER/METAL CAN,LCC:CER LEADLESS CHIP CARR,CHIPS OR DIE,CERDIP GLASS SEAL"
OP11S,,,4,,,,500µ,,300n,,,10,30,,,"CHIPS OR DIE,CER. FLATPACK WITH LEADS"
OP15S,,,1,,,,500µ,,50p,,,20,36,,,"ROUND HEADER/METAL CAN,CERDIP GLASS SEAL,CER. FLATPACK WITH LEADS"
OP16S,,,1,,,,500µ,,50p,,,,,,,"CERDIP GLASS SEAL,ROUND HEADER/METAL CAN"
PM155S,,,1,,,,2m,,3n,,,10,20,,,"CERDIP GLASS SEAL,ROUND HEADER/METAL CAN"
PM156S,,1,1,,,,2m,,3n,,,10,20,,,"CERDIP GLASS SEAL,ROUND HEADER/METAL CAN"
OP12S,,,1,,,,150µ,,2n,,,10,30,,,CHIPS OR DIE
PM108S,,,1,,,,500µ,,2n,,,10,40,,,"ROUND HEADER/METAL CAN,CER. FLATPACK WITH LEADS,CERDIP GLASS SEAL,CHIPS OR DIE"
OP07,120f,37203,1,600k,,300m,75µ,9.6n,4n,,4m,6,36,$1.13738 (OP07CSZ),31mm² (8-Lead SOIC) (OP07CSZ-REEL),"8-Lead PDIP,8-Lead SOIC"
OP07S,,34,1,,,,25µ,,2n,,,6,36,,,"ROUND HEADER/METAL CAN,CERDIP GLASS SEAL,CHIPS OR DIE,CER. FLATPACK WITH LEADS"
MAX40075,500a,108403,1,10M,10M,3,150µ,5.5n,2.3n,Output Only,2.2m,2.7,5.5,$1.12000 (MAX40075AUT+T),9mm² (6-SOT_23-N/A) (MAX40075AUT+T),"6-WLCSP-N/A,6-SOT_23-N/A"
MAX40077,500a,31592,2,10M,10M,3,350µ,5.5n,260p,Output Only,2.2m,2.7,5.5,$1.07000 (MAX40077ANA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX40077AUA+T)","8-WLCSP-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX40088,500a,95359,1,42M,42M,10,150µ,5.5n,2.3n,Output Only,2.2m,2.7,5.5,$1.12000 (MAX40088AUT+T),9mm² (6-SOT_23-N/A) (MAX40088AUT+T),"EVALUATION BOARDS,6-WLCSP-N/A,6-SOT_23-N/A"
MAX40089,500a,137776,2,42M,42M,10,350µ,5.5n,260p,Output Only,2.2m,2.7,5.5,$1.39000 (MAX40089ANA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX40089AUA+)","8-WLCSP-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX40108,100f,1417600,1,,168k,80m,10µ,90n,200p,Both,25.5µ,0.9,3.6,$1.12000 (MAX40108ANT+T),,6-WLCSP-N/A
MAX4227,3p,,2,,600M,1.7k,5m,2n,10µ,,6m,5.7,11,$3.18000 (MAX4227ESA+),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX4227ESA+)","Small-Outline IC, Narrow (0.15in)"
MAX44259,1.2f,8,1,,15M,7,800µ,,500f,Both,750µ,1.7,5.5,$0.82000 (MAX44259AUK+T),,5-SOT_23-N/A
MAX4477,500a,13335,2,,10M,3,750µ,4.5n,150p,Output Only,2.5m,2.7,5.5,$1.42000 (MAX4477ASA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4477AUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline,8-MINI_SO-N/A"
